cluster,size,survival,mean_NP,dispersed
Type 2_2,414,0.2826086956521739,0.35177132,1
Type 2_3,412,0.8470873786407767,0.5421521,0
Type 2_7,313,0.5686900958466453,0.51714593,0
Secretory_2,323,0.4520123839009288,0.35325074,1
Type 2_8,199,0.4371859296482412,0.35946402,1
Type 1_5,34,0.6470588235294118,0.37156862,0
Type 2_6,342,0.5701754385964912,0.5662768,0
Macrophage_14,219,0.4018264840182648,0.31187215,1
Macrophage_13,233,0.5321888412017167,0.20658083,0
Macrophage_1,684,0.6213450292397661,0.52846,0
Type 1_3,68,0.75,0.5617647,0
Type 1_6,26,0.6153846153846154,0.33846155,0
Type 2_13,71,0.6338028169014085,0.5798122,0
B cell_7,77,0.42857142857142855,0.22077923,1
Endothelium_1,127,0.4251968503937008,0.28110236,1
Secretory_1,332,0.786144578313253,0.67108434,0
T/NK cell_7,114,0.5263157894736842,0.3128655,0
Type 1_7,23,0.6086956521739131,0.45652175,0
B cell_0,240,0.7291666666666666,0.14402777,0
Macrophage_4,542,0.5055350553505535,0.3307503,0
Type 1_1,77,0.2857142857142857,0.15541129,1
B cell_1,236,0.7161016949152542,0.037288137,0
B cell_2,178,0.8202247191011236,0.29063672,0
T/NK cell_1,224,0.47767857142857145,0.26979166,1
Macrophage_9,376,0.8617021276595744,0.6008865,0
Macrophage_3,597,0.3852596314907873,0.45455053,1
Macrophage_18,84,0.9047619047619048,0.5051588,0
Macrophage_19,74,0.6891891891891891,0.20315316,0
Ciliated_6,258,0.7286821705426356,0.4863049,0
Macrophage_0,824,0.5813106796116505,0.6617315,0
Mast cell_1,161,0.484472049689441,0.3204969,1
B cell_6,84,0.9642857142857143,0.13690478,0
Type 1_2,69,0.8115942028985508,0.5961353,0
Type 1_0,77,0.5974025974025974,0.5515152,0
Fibroblast_5,55,0.8363636363636363,0.38424242,0
Type 1_4,50,0.28,0.118,1
B cell_10,11,0.9090909090909091,0.057575766,0
T/NK cell_0,244,0.3483606557377049,0.46270496,1
T/NK cell_3,193,0.5077720207253886,0.4457686,0
T/NK cell_8,107,0.514018691588785,0.29345796,0
Fibroblast_9,43,0.27906976744186046,0.25271317,1
Fibroblast_8,51,0.8235294117647058,0.47385627,0
Fibroblast_3,85,0.25882352941176473,0.2164706,1
Fibroblast_0,108,0.3888888888888889,0.49475303,1
Fibroblast_7,52,0.5,0.47051284,0
Fibroblast_11,18,0.3888888888888889,0.15555555,1
T/NK cell_5,134,0.5970149253731343,0.468408,0
B cell_5,96,0.8020833333333334,0.31493056,0
T/NK cell_9,89,0.7191011235955056,0.18202248,0
T/NK cell_4,168,0.40476190476190477,0.29285714,1
B cell_4,160,0.74375,0.22541666,0
Macrophage_16,119,0.7310924369747899,0.5316526,0
Mast cell_4,96,0.5208333333333334,0.35972223,0
Mast cell_7,46,0.5869565217391305,0.44057974,0
Mast cell_2,103,0.34951456310679613,0.41035601,1
Mast cell_6,69,0.36231884057971014,0.31545892,1
Mast cell_0,185,0.41081081081081083,0.37315315,1
B cell_3,169,0.9881656804733728,0.30078897,0
Endothelium_2,106,0.4056603773584906,0.53113204,1
Endothelium_0,144,0.5,0.46296299,0
Endothelium_6,81,0.32098765432098764,0.17283951,1
Endothelium_7,79,0.8227848101265823,0.41645566,0
Endothelium_10,38,0.8157894736842105,0.39561406,0
Endothelium_11,27,0.9629629629629629,0.5160493,0
Endothelium_4,86,0.8372093023255814,0.5992248,0
Endothelium_5,84,0.7261904761904762,0.4658731,0
Secretory_10,60,0.4166666666666667,0.105000004,1
Ciliated_7,178,0.651685393258427,0.39138576,0
Secretory_5,214,0.5467289719626168,0.3635514,0
Lymphatic_0,88,0.875,0.66742426,0
Lymphatic_5,13,0.5384615384615384,0.29743588,0
Lymphatic_3,66,0.7878787878787878,0.6247475,0
Lymphatic_4,28,0.9642857142857143,0.60714287,0
Ciliated_8,108,0.18518518518518517,0.02345679,1
Ciliated_2,431,0.38979118329466356,0.3266048,1
Ciliated_1,441,0.5986394557823129,0.40582013,0
Secretory_4,247,1.0,0.55654526,0
Ciliated_5,372,0.271505376344086,0.12060933,1
Ciliated_4,373,0.3753351206434316,0.33074173,1
Ciliated_3,417,0.2949640287769784,0.3561151,1
Ciliated_0,443,0.23927765237020315,0.41542515,1
Ciliated_10,45,0.7777777777777778,0.34222224,0
Secretory_6,201,0.9154228855721394,0.4837479,0
Ionocytes_0,14,0.8571428571428571,0.9071427,0
Ionocytes_2,11,0.8181818181818182,0.33333334,0
Basal 2_4,406,0.3275862068965517,0.20566502,1
Basal 2_7,190,0.9789473684210527,0.40140352,0
Basal 2_1,491,0.4847250509164969,0.3612356,1
Ciliated_9,46,0.6086956521739131,0.4971015,0
Secretory_8,143,0.7972027972027972,0.3997669,0
Basal 2_9,53,0.8301886792452831,0.4805031,0
Basal 2_3,412,0.3616504854368932,0.46440127,1
Basal 2_6,234,0.4829059829059829,0.4017094,1
Secretory_0,406,0.5295566502463054,0.40566504,0
Basal 2_5,254,0.30708661417322836,0.32322836,1
Basal 2_8,86,0.5,0.5286822,0
Secretory_9,65,0.8,0.49794868,0
Basal 2_0,509,0.4381139489194499,0.4616896,1
Secretory_3,276,0.7608695652173914,0.3683575,0
Secretory_7,149,0.5973154362416108,0.20178972,0
Basal 1_2,229,0.834061135371179,0.4647744,0
Basal 1_10,8,1.0,0.48333332,0
Ionocytes_3,8,0.875,0.89166665,0
Basal 1_6,155,0.5032258064516129,0.45806453,0
Basal 1_7,152,0.4276315789473684,0.43859652,1
Basal 1_9,99,0.18181818181818182,0.3117845,1
Basal 1_4,196,0.413265306122449,0.31139454,1
Basal 1_5,160,0.6125,0.44812497,0
Basal 1_0,326,0.7331288343558282,0.4175869,0
Basal 1_3,225,0.56,0.41911113,0
Basal 2_2,437,0.7917620137299771,0.30671242,0
Basal 1_8,111,0.6306306306306306,0.43963963,0
Basal 1_1,311,0.3762057877813505,0.47299036,1
Ciliated_12,15,0.9333333333333333,0.4444444,0
Secretory_11,43,1.0,0.3116279,0
Ionocytes_1,13,0.46153846153846156,0.91282046,1
B cell_9,43,0.813953488372093,0.3108527,0
Dendritic cell_15,27,1.0,0.34567904,0
Dendritic cell_3,131,0.22900763358778625,0.19312976,1
Dendritic cell_11,53,0.8490566037735849,0.43773583,0
Dendritic cell_6,89,0.42696629213483145,0.3022472,1
Dendritic cell_1,160,0.3125,0.24562502,1
Dendritic cell_12,45,0.9777777777777777,0.33481482,0
Dendritic cell_9,66,0.9090909090909091,0.5237374,0
Neutrophil_CD14_high_0,245,0.7836734693877551,0.28789115,0
Dendritic cell_7,75,0.9333333333333333,0.5004444,0
B cell_8,59,1.0,0.4039548,0
Neutrophils_IL1R2_0,89,0.6853932584269663,0.16329588,0
Neutrophil_CD14_high_5,171,0.672514619883041,0.5292398,0
Neutrophil_CD14_high_8,80,0.85,0.27,0
Macrophage_8,428,0.5233644859813084,0.3144081,0
Endothelium_3,103,0.47572815533980584,0.39579287,1
Endothelium_12,18,0.8333333333333334,0.5037037,0
T/NK cell_2,200,0.35,0.11783334,1
Macrophage_2,639,0.405320813771518,0.42696923,1
Macrophage_11,280,0.7892857142857143,0.27202383,0
Macrophage_17,96,0.6875,0.13472223,0
Fibroblast_4,57,0.42105263157894735,0.23508771,1
Fibroblast_1,103,0.3300970873786408,0.25825238,1
Lymphatic_2,67,0.3880597014925373,0.5393035,1
Lymphatic_1,79,0.35443037974683544,0.4725738,1
Mast cell_5,91,0.31868131868131866,0.09267402,1
Mast cell_3,102,0.3333333333333333,0.15424837,1
Ciliated_11,28,1.0,0.10595238,0
Type 2_0,916,0.324235807860262,0.58282393,1
Type 2_14,50,0.68,0.148,0
Type 2_10,108,0.5277777777777778,0.6339505,0
Type 2_12,75,0.6933333333333334,0.45422226,0
Type 2_11,76,0.27631578947368424,0.10394737,1
Type 2_5,351,0.2336182336182336,0.11424501,1
Type 2_1,439,0.6788154897494305,0.5458618,0
Type 2_4,396,0.4722222222222222,0.505303,1
Type 2_9,124,0.29838709677419356,0.077957,1
Dendritic cell_2,132,0.4621212121212121,0.25,1
Dendritic cell_14,31,1.0,0.62580645,0
Dendritic cell_0,170,0.47058823529411764,0.29294118,1
Dendritic cell_8,67,0.8059701492537313,0.2905473,0
