cluster,size,survival_std,survival_prot,improvement,dispersed_std
Dendritic cell_16,132,0.946969696969697,0.9166666666666666,-0.030303030303030387,False
Plasma cell_8,278,0.9424460431654677,0.9496402877697842,0.007194244604316502,False
Macrophage_17,813,0.6765067650676507,0.9520295202952029,0.2755227552275522,False
Macrophage_26,422,0.8436018957345972,0.943127962085308,0.09952606635071082,False
Plasma cell_13,139,0.9640287769784173,0.9136690647482014,-0.05035971223021585,False
Dendritic cell_7,322,0.6832298136645962,0.7267080745341615,0.0434782608695653,False
T cell_19,647,0.9088098918083463,0.9211746522411128,0.012364760432766575,False
Macrophage_6,2056,0.1926070038910506,0.43190661478599224,0.23929961089494164,True
Plasma cell_7,314,0.8280254777070064,0.9363057324840764,0.10828025477707004,False
Macrophage_1,2478,0.4911218724778047,0.5714285714285714,0.0803066989507667,True
B cell_4,508,0.7401574803149606,0.687007874015748,-0.053149606299212615,False
Macrophage_14,918,0.9836601307189542,0.9313725490196079,-0.05228758169934633,False
B cell_8,418,0.43301435406698563,0.39952153110047844,-0.033492822966507185,True
NK cell_3,541,0.5452865064695009,0.8428835489833642,0.2975970425138632,False
B cell_6,477,0.2809224318658281,0.26834381551362685,-0.012578616352201255,True
Plasma cell_6,330,0.9363636363636364,0.9242424242424242,-0.0121212121212122,False
T cell_14,837,0.6702508960573477,0.6929510155316607,0.022700119474313052,False
pDC_6,102,0.8137254901960784,0.7647058823529411,-0.0490196078431373,False
T cell_8,1871,0.6584714056654195,0.6413682522715125,-0.017103153393907,False
Dendritic cell_9,292,0.678082191780822,0.7397260273972602,0.06164383561643827,False
Plasma cell_16,103,0.9611650485436893,0.9223300970873787,-0.03883495145631066,False
B cell_2,795,0.7509433962264151,0.8176100628930818,0.06666666666666665,False
T cell_9,1721,0.484601975595584,0.873329459616502,0.388727484020918,True
Macrophage_4,2306,0.2220294882914137,0.3230702515177797,0.10104076322636599,True
Plasma cell_0,791,0.7408343868520859,0.5486725663716814,-0.19216182048040453,False
Plasma cell_4,411,0.41362530413625304,0.291970802919708,-0.12165450121654503,True
B cell_0,975,0.5097435897435898,0.8882051282051282,0.3784615384615384,False
pDC_11,31,0.967741935483871,0.8709677419354839,-0.09677419354838712,False
T cell_25,150,0.8466666666666667,0.9266666666666666,0.07999999999999996,False
T cell_5,2477,0.23738393217601939,0.364553895841744,0.12716996366572464,True
Dendritic cell_3,713,0.32959326788218796,0.5049088359046283,0.17531556802244036,True
B cell_14,193,0.37823834196891193,0.23834196891191708,-0.13989637305699484,True
Macrophage_10,1415,0.4925795053003534,0.4007067137809187,-0.09187279151943467,True
NK cell_1,795,0.7484276729559748,0.9245283018867925,0.17610062893081768,False
pDC_3,190,0.6894736842105263,0.8263157894736842,0.13684210526315788,False
Plasma cell_2,549,0.32604735883424407,0.5318761384335154,0.20582877959927137,True
Macrophage_8,1548,0.6175710594315246,0.7603359173126615,0.1427648578811369,False
Plasma cell_21,28,0.9642857142857143,0.8928571428571429,-0.0714285714285714,False
B cell_3,629,0.2559618441971383,0.7360890302066773,0.48012718600953896,True
NK cell_17,27,1.0,1.0,0.0,False
pDC_0,226,0.37610619469026546,0.3407079646017699,-0.035398230088495575,True
B cell_12,256,0.57421875,0.46875,-0.10546875,False
T cell_13,898,0.5155902004454342,0.49888641425389757,-0.016703786191536674,False
T cell_1,2932,0.3270804911323329,0.7274897680763983,0.4004092769440654,True
NK cell_0,1078,0.5176252319109462,0.7792207792207793,0.26159554730983303,False
Macrophage_22,725,0.7158620689655173,0.7448275862068966,0.0289655172413793,False
T cell_6,2006,0.6311066799601196,0.4406779661016949,-0.1904287138584247,False
T cell_11,1324,0.5966767371601208,0.9244712990936556,0.32779456193353473,False
