cluster,size,survival,np_sup,np_unsup,np_global,dispersed
Dendritic cell_16,132,0.9242424242424242,0.655303,0.88282835,0.7222222,0
Plasma cell_8,278,0.9532374100719424,0.8376499,0.8576739,0.8384892,0
Macrophage_17,813,0.9692496924969249,0.73366135,0.8785157,0.7369004,0
Macrophage_26,422,0.8412322274881516,0.7471564,0.8233018,0.7445498,0
Plasma cell_13,139,0.935251798561151,0.7270983,0.74748206,0.7081535,0
Dendritic cell_7,322,0.6956521739130435,0.31697723,0.35155278,0.28416148,0
T cell_19,647,0.9119010819165378,0.5546625,0.83699125,0.5527048,0
Macrophage_6,2056,0.19455252918287938,0.575227,0.7883917,0.5647373,1
Plasma cell_7,314,0.8949044585987261,0.81985146,0.8389597,0.8063695,0
Macrophage_1,2478,0.4152542372881356,0.55836695,0.84665054,0.5414582,1
B cell_4,508,0.7303149606299213,0.5763779,0.7934383,0.57322836,0
Macrophage_14,918,0.9161220043572985,0.7500363,0.84498906,0.74970955,0
B cell_8,418,0.4138755980861244,0.52089316,0.56570977,0.52248806,1
NK cell_3,541,0.5341959334565619,0.41404802,0.75982744,0.42261243,0
B cell_6,477,0.2851153039832285,0.3289308,0.42767295,0.3343117,1
Plasma cell_6,330,0.9272727272727272,0.69454545,0.81979793,0.67777777,0
T cell_14,837,0.6774193548387096,0.40227002,0.8181202,0.40477896,0
pDC_6,102,0.7843137254901961,0.4990196,0.49444443,0.49411762,0
T cell_8,1871,0.6547300908605024,0.41393194,0.742063,0.41423482,0
Dendritic cell_9,292,0.678082191780822,0.19600458,0.25970322,0.1944064,0
Plasma cell_16,103,0.9514563106796117,0.78349525,0.8504855,0.76245964,0
B cell_2,795,0.7232704402515723,0.76716983,0.8487212,0.76620543,0
T cell_9,1721,0.4241719930273097,0.46087548,0.79994184,0.43610305,1
Macrophage_4,2306,0.25628794449262793,0.5003613,0.87396646,0.49625614,1
Plasma cell_0,791,0.5891276864728192,0.73227984,0.89544886,0.7324484,0
Plasma cell_4,411,0.5012165450121655,0.48134634,0.5406326,0.47948095,0
B cell_0,975,0.6246153846153846,0.82984614,0.92188025,0.82902557,0
pDC_11,31,0.967741935483871,0.6021505,0.6236559,0.6139785,0
T cell_25,150,0.8666666666666667,0.3515556,0.634,0.34066665,0
T cell_5,2477,0.3116673395236173,0.2945768,0.75633156,0.3020455,1
Dendritic cell_3,713,0.48667601683029454,0.37461427,0.80715287,0.31295,1
B cell_14,193,0.37305699481865284,0.62193435,0.60276335,0.5376511,1
Macrophage_10,1415,0.5137809187279152,0.3500589,0.7838162,0.35265017,0
NK cell_1,795,0.7496855345911949,0.7343816,0.8316142,0.6807966,0
pDC_3,190,0.7315789473684211,0.64789474,0.65543866,0.62649125,0
Plasma cell_2,549,0.31876138433515483,0.6422586,0.8125076,0.6421979,1
Macrophage_8,1548,0.601421188630491,0.71722656,0.85501724,0.7161714,0
Plasma cell_21,28,0.9642857142857143,0.7011904,0.4738095,0.4583333,0
B cell_3,629,0.21462639109697934,0.45749867,0.7505035,0.454796,1
NK cell_17,27,1.0,0.59753084,0.89629626,0.55061734,0
