cluster,size,survival,np_sup,np_unsup,np_global,dispersed
Dendritic cell_16,132,1.0,0.66565657,0.5611111,0.5396465,0
Plasma cell_8,278,0.9640287769784173,0.4910072,0.49256602,0.4904077,0
Macrophage_17,813,0.968019680196802,0.54501843,0.5604756,0.53489137,0
Macrophage_26,422,0.9715639810426541,0.528199,0.59186417,0.52590835,0
Plasma cell_13,139,0.8848920863309353,0.5165468,0.5302158,0.5196643,0
Dendritic cell_7,322,0.6677018633540373,0.4467909,0.47236025,0.43291923,0
T cell_19,647,0.9057187017001546,0.3008758,0.32575992,0.30061823,0
Macrophage_6,2056,0.6527237354085603,0.48299286,0.520655,0.4816634,0
Plasma cell_7,314,0.8312101910828026,0.49957538,0.4957538,0.48927817,0
Macrophage_1,2478,0.6719128329297821,0.3881356,0.45022866,0.3875841,0
B cell_4,508,0.7322834645669292,0.4249344,0.5480315,0.42440945,0
Macrophage_14,918,0.9694989106753813,0.51368916,0.5593682,0.51368916,0
B cell_8,418,0.284688995215311,0.44377992,0.46307814,0.44274318,1
NK cell_3,541,0.88909426987061,0.41811463,0.47301295,0.39100432,0
B cell_6,477,0.4088050314465409,0.2427673,0.25890988,0.23522012,1
Plasma cell_6,330,0.906060606060606,0.4628283,0.4628283,0.45151514,0
T cell_14,837,0.6714456391875747,0.3485066,0.46435684,0.35033852,0
pDC_6,102,0.5980392156862745,0.41470587,0.41111112,0.41111112,0
T cell_8,1871,0.6905398182789952,0.3413504,0.41916978,0.34088725,0
Dendritic cell_9,292,0.571917808219178,0.31095892,0.34166664,0.30753425,0
Plasma cell_16,103,0.6796116504854369,0.49029124,0.54692554,0.4838188,0
B cell_2,795,0.9056603773584906,0.25651994,0.27832285,0.25635222,0
T cell_9,1721,0.6141778036025567,0.4140616,0.46230876,0.40178192,0
Macrophage_4,2306,0.492194275802255,0.42546982,0.5290691,0.42457357,1
Plasma cell_0,791,0.888748419721871,0.29915717,0.3002107,0.29987356,0
Plasma cell_4,411,0.7104622871046229,0.36269265,0.36926198,0.3617194,0
B cell_0,975,0.9528205128205128,0.22817095,0.2397949,0.22704273,0
pDC_11,31,0.9354838709677419,0.5591398,0.5634408,0.5634408,0
T cell_25,150,0.94,0.5242222,0.61844444,0.4624444,0
T cell_5,2477,0.2672587807832055,0.22050868,0.31967434,0.21229984,1
Dendritic cell_3,713,0.423562412342216,0.40757367,0.5183731,0.37152877,1
B cell_14,193,0.41968911917098445,0.5022453,0.47512951,0.42469776,1
Macrophage_10,1415,0.5024734982332155,0.41705534,0.53175503,0.40138987,0
NK cell_1,795,0.9660377358490566,0.30402514,0.30616352,0.29714885,0
pDC_3,190,0.8789473684210526,0.39491227,0.4073684,0.39263162,0
Plasma cell_2,549,0.6065573770491803,0.30631453,0.30758956,0.3063145,0
Macrophage_8,1548,0.9295865633074936,0.37166238,0.39018092,0.37118864,0
Plasma cell_21,28,1.0,0.6999999,0.52261907,0.4916667,0
B cell_3,629,0.6868044515103339,0.33391625,0.45198727,0.33359832,0
NK cell_17,27,0.9259259259259259,0.6148148,0.6765432,0.6148148,0
pDC_0,226,0.3495575221238938,0.3265487,0.3269911,0.32743362,1
B cell_12,256,0.9375,0.6063802,0.6229167,0.58906245,0
T cell_13,898,0.4933184855233853,0.3429102,0.37138084,0.34094286,1
T cell_1,2932,0.560368349249659,0.26477945,0.32598907,0.2641769,0
NK cell_0,1078,0.9564007421150278,0.267718,0.2736549,0.2679963,0
Macrophage_22,725,0.8386206896551724,0.5191264,0.52533334,0.51825285,0
T cell_6,2006,0.6026919242273181,0.2285643,0.27126953,0.22819877,0
T cell_11,1324,0.8844410876132931,0.33917424,0.38753775,0.33547333,0
B cell_5,480,0.30625,0.3227083,0.3422222,0.31479168,1
