cluster,size,survival,mean_NP,dispersed
gamma_0,128,0.21875,0.25520834,1
gamma_10,18,0.2777777777777778,0.09074075,1
gamma_3,87,0.21839080459770116,0.16053642,1
gamma_7,46,0.8043478260869565,0.51594204,0
gamma_1,93,0.4838709677419355,0.5232975,1
gamma_6,51,0.6862745098039216,0.5732026,0
gamma_9,21,0.9523809523809523,0.679365,0
acinar_8,68,0.7794117647058824,0.4671569,0
acinar_3,212,0.22169811320754718,0.2240566,1
acinar_2,223,0.35874439461883406,0.5369208,1
acinar_7,110,0.3,0.25060606,1
acinar_10,21,0.2857142857142857,0.14761905,1
acinar_6,136,0.34558823529411764,0.37965688,1
acinar_9,51,0.9607843137254902,0.6431372,0
alpha_10,181,0.23756906077348067,0.074401475,1
alpha_13,48,1.0,0.66805553,0
alpha_2,813,0.23862238622386223,0.47359574,1
alpha_9,229,0.27074235807860264,0.25007278,1
alpha_14,15,1.0,0.40888888,0
alpha_8,239,0.5188284518828452,0.4403068,0
alpha_4,383,0.5326370757180157,0.42680594,0
alpha_1,889,0.18222722159730034,0.3182977,1
alpha_5,332,0.29518072289156627,0.5151606,1
alpha_7,266,0.7330827067669173,0.67092735,0
delta_8,48,0.1875,0.08958334,1
delta_6,74,0.5405405405405406,0.3391892,0
delta_3,131,0.33587786259541985,0.35343513,1
delta_9,25,0.36,0.22533335,1
delta_4,125,0.216,0.3144,1
delta_7,51,0.1568627450980392,0.1111111,1
beta_9,212,0.42924528301886794,0.13018869,1
beta_0,585,0.3401709401709402,0.4080342,1
beta_12,110,0.6090909090909091,0.24181817,0
beta_4,392,0.2576530612244898,0.42670068,1
beta_6,258,0.46124031007751937,0.5286822,1
beta_3,459,0.23529411764705882,0.26753813,1
beta_11,186,0.967741935483871,0.4292115,0
beta_10,206,0.441747572815534,0.35372168,1
ductal_1,268,0.2537313432835821,0.26679105,1
ductal_3,214,0.3130841121495327,0.34766355,1
ductal_14,28,0.8928571428571429,0.33095235,0
ductal_9,89,0.5280898876404494,0.40262172,0
ductal_6,150,0.4533333333333333,0.3586667,1
ductal_4,207,0.4492753623188406,0.45442834,1
ductal_11,81,0.9753086419753086,0.408642,0
ductal_13,31,0.3548387096774194,0.24731182,1
ductal_8,101,0.8415841584158416,0.4455445,0
ductal_7,120,0.6,0.53972226,0
ductal_10,83,0.5301204819277109,0.23253012,0
endothelial_2,39,0.38461538461538464,0.3632478,1
endothelial_3,32,0.3125,0.29479167,1
endothelial_7,26,0.34615384615384615,0.21538463,1
activated_stellate_0,109,0.3302752293577982,0.5929663,1
activated_stellate_7,26,0.34615384615384615,0.27564102,1
activated_stellate_8,16,0.3125,0.30625,1
activated_stellate_2,53,0.24528301886792453,0.28050315,1
activated_stellate_9,6,1.0,0.43888888,0
schwann_0,25,1.0,0.66933334,0
mast_1,15,0.6666666666666666,0.62666667,0
mast_2,11,0.5454545454545454,0.69090915,0
mast_0,16,0.4375,0.6854167,1
macrophage_1,19,0.47368421052631576,0.5315789,1
macrophage_2,18,0.5555555555555556,0.55925924,0
macrophage_0,21,0.38095238095238093,0.5857143,1
macrophage_4,7,0.2857142857142857,0.5047619,1
epsilon_1,14,0.7142857142857143,0.3880953,0
quiescent_stellate_5,20,0.3,0.21833332,1
delta_0,214,0.20093457943925233,0.37741435,1
activated_stellate_6,45,0.5777777777777777,0.34296295,0
ductal_12,34,1.0,0.33431372,0
acinar_5,187,0.35294117647058826,0.5848485,1
activated_stellate_5,46,0.6956521739130435,0.44347826,0
activated_stellate_4,51,0.3137254901960784,0.19934642,1
beta_8,216,0.8425925925925926,0.38858026,0
beta_1,518,0.27606177606177607,0.30572715,1
beta_2,471,0.21443736730360935,0.1856334,1
epsilon_0,18,0.4444444444444444,0.37037036,1
delta_2,135,0.4,0.27901238,1
gamma_5,66,0.19696969696969696,0.19141413,1
endothelial_4,31,0.8064516129032258,0.6,0
ductal_2,258,0.40310077519379844,0.21950904,1
quiescent_stellate_0,38,0.47368421052631576,0.48596498,1
endothelial_8,24,0.9166666666666666,0.47222224,0
gamma_2,88,0.3181818181818182,0.2693182,1
ductal_0,299,0.36789297658862874,0.45562983,1
delta_1,176,0.2727272727272727,0.2782197,1
endothelial_5,27,0.4444444444444444,0.39135802,1
macrophage_3,14,0.5714285714285714,0.62142855,0
endothelial_6,27,0.8518518518518519,0.5345679,0
quiescent_stellate_2,30,0.5,0.58,0
endothelial_1,42,0.35714285714285715,0.45238096,1
beta_5,324,0.2222222222222222,0.17942387,1
endothelial_0,46,0.45652173913043476,0.48260868,1
alpha_0,1028,0.245136186770428,0.42007133,1
quiescent_stellate_3,28,0.7142857142857143,0.55952376,0
alpha_6,294,0.24829931972789115,0.15204082,1
ductal_5,179,0.9664804469273743,0.14953446,0
acinar_1,225,0.8222222222222222,0.7819259,0
acinar_4,197,0.9137055837563451,0.8015228,0
quiescent_stellate_4,26,0.38461538461538464,0.40384614,1
beta_7,232,0.7672413793103449,0.47212645,0
alpha_3,654,0.22324159021406728,0.2427625,1
alpha_12,49,0.9591836734693877,0.5027211,0
alpha_11,73,0.9863013698630136,0.5666667,0
t_cell_0,7,1.0,0.60476196,0
delta_5,76,0.27631578947368424,0.29605263,1
activated_stellate_1,61,0.26229508196721313,0.16174866,1
quiescent_stellate_6,19,0.47368421052631576,0.25789475,1
gamma_4,66,0.18181818181818182,0.1919192,1
endothelial_9,19,0.42105263157894735,0.45438597,1
acinar_0,228,0.7982456140350878,0.8100878,0
acinar_11,11,0.9090909090909091,0.28484848,0
activated_stellate_3,51,0.5686274509803921,0.2908497,0
gamma_8,35,0.34285714285714286,0.124761894,1
quiescent_stellate_1,32,0.3125,0.25208336,1
