post_cnem,pre_cnem,celltype,is_rare,batch
0.29809463,0.26280957,Dendritic cell,0,D5
0.33113134,0.24499768,Plasma cell,0,D5
0.3507511,0.26817334,Plasma cell,0,D5
0.37045497,0.34813035,Macrophage,0,D5
0.373425,0.27991974,Plasma cell,0,D5
0.3386885,0.262555,Plasma cell,0,D5
0.32335097,0.2544428,Macrophage,0,D5
0.33571792,0.2522592,Plasma cell,0,D5
0.30122697,0.21224773,Dendritic cell,0,D5
0.2806146,0.2210834,Dendritic cell,0,D5
0.31605577,0.25027317,Macrophage,0,D5
0.31799793,0.24908,Macrophage,0,D5
0.26931667,0.2251656,Macrophage,0,D5
0.31470472,0.22801936,Plasma cell,0,D5
0.29923964,0.21893561,Plasma cell,0,D5
0.32655084,0.26251066,Macrophage,0,D5
0.40964693,0.31578207,Plasma cell,0,D5
0.30625296,0.22609901,Macrophage,0,D5
0.3565743,0.2826755,Macrophage,0,D5
0.35197622,0.24591494,Plasma cell,0,D5
0.2831776,0.21771437,Macrophage,0,D5
0.29945183,0.21186572,Macrophage,0,D5
0.3018343,0.22244704,Macrophage,0,D5
0.23886251,0.15073931,Macrophage,0,D5
0.29897678,0.20821536,Dendritic cell,0,D5
0.38925385,0.29892558,Plasma cell,0,D5
0.3268981,0.24472827,Dendritic cell,0,D5
0.3348354,0.24937707,Macrophage,0,D5
0.34254336,0.3035562,Plasma cell,0,D5
0.3039633,0.2416268,Macrophage,0,D5
0.32083583,0.25717223,Dendritic cell,0,D5
0.29422367,0.23622167,Macrophage,0,D5
0.37319124,0.29810798,Macrophage,0,D5
0.36885446,0.3217857,Plasma cell,0,D5
0.3402363,0.25889027,Macrophage,0,D5
0.295507,0.23652303,Dendritic cell,0,D5
0.32121652,0.27251554,Macrophage,0,D5
0.37050736,0.2808097,Macrophage,0,D5
0.37517434,0.28333306,Plasma cell,0,D5
0.33014643,0.24785626,Macrophage,0,D5
0.3230741,0.27146626,Macrophage,0,D5
0.3803839,0.26987755,Macrophage,0,D5
