post_cnem,pre_cnem,celltype,is_rare,batch
0.26415145,0.26280957,Dendritic cell,0,D5
0.24715865,0.24499768,Plasma cell,0,D5
0.27411842,0.26817334,Plasma cell,0,D5
0.3454187,0.34813035,Macrophage,0,D5
0.27793217,0.27991974,Plasma cell,0,D5
0.2655776,0.262555,Plasma cell,0,D5
0.2544883,0.2544428,Macrophage,0,D5
0.2549361,0.2522592,Plasma cell,0,D5
0.21262872,0.21224773,Dendritic cell,0,D5
0.22115457,0.2210834,Dendritic cell,0,D5
0.24517083,0.25027317,Macrophage,0,D5
0.26939726,0.24908,Macrophage,0,D5
0.22780132,0.2251656,Macrophage,0,D5
0.24462771,0.22801936,Plasma cell,0,D5
0.22044891,0.21893561,Plasma cell,0,D5
0.2792747,0.26251066,Macrophage,0,D5
0.29590273,0.31578207,Plasma cell,0,D5
0.22405678,0.22609901,Macrophage,0,D5
0.3289994,0.2826755,Macrophage,0,D5
0.24385893,0.24591494,Plasma cell,0,D5
0.21389985,0.21771437,Macrophage,0,D5
0.21815205,0.21186572,Macrophage,0,D5
0.22042632,0.22244704,Macrophage,0,D5
0.14098787,0.15073931,Macrophage,0,D5
0.2079277,0.20821536,Dendritic cell,0,D5
0.30211878,0.29892558,Plasma cell,0,D5
0.2676847,0.24472827,Dendritic cell,0,D5
0.25938427,0.24937707,Macrophage,0,D5
0.3006959,0.3035562,Plasma cell,0,D5
0.24731612,0.2416268,Macrophage,0,D5
0.26570845,0.25717223,Dendritic cell,0,D5
0.2505654,0.23622167,Macrophage,0,D5
0.30498302,0.29810798,Macrophage,0,D5
0.3263312,0.3217857,Plasma cell,0,D5
0.28512287,0.25889027,Macrophage,0,D5
0.26086926,0.23652303,Dendritic cell,0,D5
0.2784344,0.27251554,Macrophage,0,D5
0.31242788,0.2808097,Macrophage,0,D5
0.28244913,0.28333306,Plasma cell,0,D5
0.2612598,0.24785626,Macrophage,0,D5
0.3073781,0.27146626,Macrophage,0,D5
0.34102476,0.26987755,Macrophage,0,D5
0.2449156,0.24276459,Macrophage,0,D5
0.31188232,0.24921519,Macrophage,0,D5
0.25654817,0.2287671,Macrophage,0,D5
0.25226152,0.24821824,Macrophage,0,D5
0.2742638,0.26160395,Macrophage,0,D5
0.24817455,0.23399055,Macrophage,0,D5
0.22822762,0.22651309,Macrophage,0,D5
0.35020226,0.34770685,T cell,0,D5
0.2738688,0.26170957,Macrophage,0,D5
0.25463915,0.2482593,Macrophage,0,D5
0.25086367,0.24329185,Macrophage,0,D5
0.34952188,0.3408395,Plasma cell,0,D5
0.21523124,0.21101242,Macrophage,0,D5
0.23031026,0.22593963,Macrophage,0,D5
0.22764516,0.20931101,Macrophage,0,D5
0.21929187,0.22278672,Macrophage,0,D5
0.18830204,0.18230623,Macrophage,0,D5
0.23627084,0.24126011,Macrophage,0,D5
0.3313461,0.3275692,Plasma cell,0,D5
0.35679877,0.32014543,Macrophage,0,D5
0.28274465,0.2843281,B cell,0,D5
0.25902915,0.26166606,Macrophage,0,D5
0.23665977,0.23403144,Macrophage,0,D5
0.2224189,0.21928185,B cell,0,D5
0.34107506,0.32112223,B cell,0,D5
0.34249407,0.29079026,NK cell,0,D5
0.35040557,0.26786602,B cell,0,D5
0.27008903,0.23031962,B cell,0,D5
0.21423304,0.20685542,B cell,0,D5
0.18161869,0.17660767,Plasma cell,0,D5
0.20965028,0.20337105,B cell,0,D5
0.25374782,0.2525717,Plasma cell,0,D5
0.27965307,0.25400233,T cell,0,D5
0.3867222,0.33849025,T cell,0,D5
0.12200129,0.11437595,Macrophage,0,D5
0.17844063,0.16142976,pDC,1,D5
0.28883928,0.26779473,T cell,0,D5
0.32444096,0.31299722,T cell,0,D5
0.38290083,0.36643386,T cell,0,D5
0.24801272,0.22653753,T cell,0,D5
0.21045595,0.21590114,Plasma cell,0,D5
