post_cnem,pre_cnem,celltype,is_rare,batch
0.2463975,0.26280957,Dendritic cell,0,D5
0.2464565,0.24499768,Plasma cell,0,D5
0.27003753,0.26817334,Plasma cell,0,D5
0.34329426,0.34813035,Macrophage,0,D5
0.28140187,0.27991974,Plasma cell,0,D5
0.26231825,0.262555,Plasma cell,0,D5
0.25884646,0.2544428,Macrophage,0,D5
0.24306637,0.2522592,Plasma cell,0,D5
0.21409571,0.21224773,Dendritic cell,0,D5
0.217031,0.2210834,Dendritic cell,0,D5
0.2572236,0.25027317,Macrophage,0,D5
0.2506435,0.24908,Macrophage,0,D5
0.22798312,0.2251656,Macrophage,0,D5
0.2242626,0.22801936,Plasma cell,0,D5
0.21835792,0.21893561,Plasma cell,0,D5
0.24897993,0.26251066,Macrophage,0,D5
0.3140949,0.31578207,Plasma cell,0,D5
0.22514689,0.22609901,Macrophage,0,D5
0.2699049,0.2826755,Macrophage,0,D5
0.24633414,0.24591494,Plasma cell,0,D5
0.2057221,0.21771437,Macrophage,0,D5
0.20160872,0.21186572,Macrophage,0,D5
0.21438491,0.22244704,Macrophage,0,D5
0.14577883,0.15073931,Macrophage,0,D5
0.2137208,0.20821536,Dendritic cell,0,D5
0.2892815,0.29892558,Plasma cell,0,D5
0.24782664,0.24472827,Dendritic cell,0,D5
0.24735427,0.24937707,Macrophage,0,D5
0.2962135,0.3035562,Plasma cell,0,D5
0.23948622,0.2416268,Macrophage,0,D5
0.25407135,0.25717223,Dendritic cell,0,D5
0.22782195,0.23622167,Macrophage,0,D5
0.2806338,0.29810798,Macrophage,0,D5
0.31660545,0.3217857,Plasma cell,0,D5
0.26319498,0.25889027,Macrophage,0,D5
0.23397225,0.23652303,Dendritic cell,0,D5
0.2634306,0.27251554,Macrophage,0,D5
0.2747314,0.2808097,Macrophage,0,D5
0.28043836,0.28333306,Plasma cell,0,D5
0.23351091,0.24785626,Macrophage,0,D5
0.2704801,0.27146626,Macrophage,0,D5
0.25831085,0.26987755,Macrophage,0,D5
