celltype,post_cnem,cnem_delta,method
gamma,0.3508371114730835,0.002606987953186035,Harmony
gamma,0.2589016556739807,0.027954161167144775,Harmony
gamma,0.34186726808547974,0.015420794486999512,Harmony
gamma,0.322826087474823,0.020384371280670166,Harmony
gamma,0.3523540496826172,-0.009084463119506836,Harmony
gamma,0.3504791855812073,0.010126471519470215,Harmony
gamma,0.23126715421676636,0.0023201704025268555,Harmony
gamma,0.30392104387283325,0.004178047180175781,Harmony
gamma,0.29640477895736694,-0.00032901763916015625,Harmony
gamma,0.19793236255645752,-0.006014347076416016,Harmony
gamma,0.2101120948791504,0.004700303077697754,Harmony
gamma,0.3217954635620117,0.005616247653961182,Harmony
gamma,0.3095129728317261,0.020498216152191162,Harmony
gamma,0.219770610332489,-0.007799863815307617,Harmony
gamma,0.2894572615623474,0.007845163345336914,Harmony
gamma,0.25989580154418945,0.00936812162399292,Harmony
gamma,0.1979198455810547,0.0013884902000427246,Harmony
gamma,0.31123989820480347,0.0020494461059570312,Harmony
gamma,0.12077057361602783,0.006388366222381592,Harmony
gamma,0.2770296335220337,0.02140939235687256,Harmony
gamma,0.1420382857322693,-0.005125224590301514,Harmony
gamma,0.11561805009841919,0.012613534927368164,Harmony
gamma,0.19367295503616333,0.011054933071136475,Harmony
gamma,0.13434934616088867,0.005861103534698486,Harmony
gamma,0.2617064118385315,0.034205615520477295,Harmony
gamma,0.2021203637123108,0.01898956298828125,Harmony
gamma,0.22789376974105835,0.011372804641723633,Harmony
gamma,0.17730861902236938,0.006392121315002441,Harmony
gamma,0.15344732999801636,0.004413485527038574,Harmony
gamma,0.21806848049163818,0.01713407039642334,Harmony
gamma,0.10835468769073486,0.006169259548187256,Harmony
gamma,0.17683792114257812,0.012790560722351074,Harmony
gamma,0.23106783628463745,0.034411609172821045,Harmony
gamma,0.300681471824646,0.03735005855560303,Harmony
gamma,0.22294318675994873,0.02099287509918213,Harmony
gamma,0.19710779190063477,0.014973878860473633,Harmony
gamma,0.272951602935791,0.02711707353591919,Harmony
gamma,0.19508147239685059,0.019085824489593506,Harmony
gamma,0.19324523210525513,0.01556098461151123,Harmony
gamma,0.17385149002075195,0.01940232515335083,Harmony
gamma,0.21433204412460327,0.01310265064239502,Harmony
gamma,0.18212097883224487,0.013567924499511719,Harmony
gamma,0.17248153686523438,0.007484257221221924,Harmony
gamma,0.22481805086135864,0.018774688243865967,Harmony
gamma,0.2131108045578003,0.020077645778656006,Harmony
gamma,0.22274625301361084,0.014578819274902344,Harmony
gamma,0.22572481632232666,0.018830418586730957,Harmony
gamma,0.1802603006362915,0.01329118013381958,Harmony
gamma,0.20367872714996338,0.008467316627502441,Harmony
gamma,0.17268002033233643,0.006671428680419922,Harmony
gamma,0.12852901220321655,0.009459197521209717,Harmony
gamma,0.19742387533187866,0.021123766899108887,Harmony
gamma,0.1470252275466919,0.014442682266235352,Harmony
gamma,0.28129178285598755,0.027908802032470703,Harmony
gamma,0.2158890962600708,0.006069183349609375,Harmony
gamma,0.27256107330322266,0.023527801036834717,Harmony
gamma,0.21755450963974,0.01893484592437744,Harmony
gamma,0.2358507513999939,0.028099656105041504,Harmony
gamma,0.2211318016052246,0.01787787675857544,Harmony
gamma,0.27344101667404175,0.018793165683746338,Harmony
gamma,0.21251791715621948,0.012253999710083008,Harmony
gamma,0.26610755920410156,0.017119228839874268,Harmony
gamma,0.26676636934280396,0.018722891807556152,Harmony
gamma,0.17427098751068115,0.00417780876159668,Harmony
gamma,0.2078791856765747,0.019713521003723145,Harmony
gamma,0.1595907211303711,0.013601481914520264,Harmony
gamma,0.23026812076568604,0.0060048699378967285,Harmony
gamma,0.22279512882232666,0.01969856023788452,Harmony
gamma,0.16370302438735962,0.010769069194793701,Harmony
gamma,0.1890825629234314,0.0048427581787109375,Harmony
