cluster,size,survival_std,survival_sel,improvement
Dendritic cell_16,132,0.946969696969697,0.9924242424242424,0.045454545454545414
Plasma cell_8,278,0.9388489208633094,0.960431654676259,0.021582733812949617
Macrophage_17,813,0.6728167281672817,0.974169741697417,0.3013530135301353
Macrophage_26,422,0.8436018957345972,0.8530805687203792,0.009478672985781977
Plasma cell_13,139,0.9496402877697842,0.9784172661870504,0.02877697841726623
Dendritic cell_7,322,0.6987577639751553,0.6645962732919255,-0.03416149068322982
T cell_19,647,0.865533230293663,0.9412673879443586,0.07573415765069558
Macrophage_6,2056,0.22908560311284046,0.7898832684824902,0.5607976653696498
Plasma cell_7,314,0.8757961783439491,0.9936305732484076,0.11783439490445857
Macrophage_1,2478,0.4495560936238902,0.6815980629539952,0.23204196933010496
B cell_4,508,0.7421259842519685,0.9645669291338582,0.2224409448818897
Macrophage_14,918,0.8485838779956427,0.7363834422657952,-0.1122004357298475
B cell_8,418,0.4354066985645933,0.5047846889952153,0.06937799043062204
NK cell_3,541,0.5415896487985212,0.8927911275415896,0.3512014787430684
B cell_6,477,0.2662473794549266,0.7253668763102725,0.4591194968553459
Plasma cell_6,330,0.9333333333333333,0.9666666666666667,0.033333333333333326
T cell_14,837,0.6630824372759857,0.8243727598566308,0.16129032258064513
pDC_6,102,0.8137254901960784,0.8333333333333334,0.019607843137254943
T cell_8,1871,0.6584714056654195,0.8129342597541421,0.15446285408872262
Dendritic cell_9,292,0.660958904109589,0.8287671232876712,0.1678082191780822
Plasma cell_16,103,0.9514563106796117,0.9320388349514563,-0.01941747572815533
B cell_2,795,0.7069182389937106,0.9056603773584906,0.19874213836477994
T cell_9,1721,0.5090063916327716,0.9709471237652527,0.4619407321324811
Macrophage_4,2306,0.2059843885516045,0.7246313963573288,0.5186470078057243
Plasma cell_0,791,0.6915297092288243,0.9570164348925411,0.2654867256637168
Plasma cell_4,411,0.5085158150851582,0.9148418491484185,0.4063260340632603
B cell_0,975,0.8317948717948718,0.9928205128205129,0.1610256410256411
pDC_11,31,0.967741935483871,0.967741935483871,0.0
T cell_25,150,0.8333333333333334,0.9733333333333334,0.14
T cell_5,2477,0.2708922083165119,0.9422688736374647,0.6713766653209527
Dendritic cell_3,713,0.49368863955119213,0.7503506311360448,0.2566619915848527
B cell_14,193,0.37305699481865284,0.6632124352331606,0.2901554404145078
Macrophage_10,1415,0.488339222614841,0.8862190812720848,0.39787985865724385
NK cell_1,795,0.7584905660377359,0.9635220125786164,0.20503144654088046
pDC_3,190,0.5789473684210527,0.9421052631578948,0.3631578947368421
Plasma cell_2,549,0.33515482695810567,0.6612021857923497,0.326047358834244
Macrophage_8,1548,0.6162790697674418,0.9457364341085271,0.3294573643410853
Plasma cell_21,28,0.9642857142857143,0.8571428571428571,-0.1071428571428572
B cell_3,629,0.22257551669316375,0.7217806041335453,0.4992050874403815
NK cell_17,27,1.0,1.0,0.0
pDC_0,226,0.37610619469026546,0.911504424778761,0.5353982300884956
