RS,celltype
3.0041666,Dendritic cell
1.5559071,Plasma cell
1.2345994,Plasma cell
3.5058913,Macrophage
1.790432,Plasma cell
1.996128,Plasma cell
1.7671852,Macrophage
1.4908478,Plasma cell
1.5929728,Dendritic cell
1.6638596,Dendritic cell
1.1681368,Macrophage
1.6273274,Macrophage
1.877539,Macrophage
2.0529222,Plasma cell
1.459005,Plasma cell
1.316321,Macrophage
1.3024476,Plasma cell
1.4360402,Macrophage
1.2660012,Macrophage
1.3710326,Plasma cell
1.2969851,Macrophage
1.2454298,Macrophage
1.0280632,Macrophage
1.241043,Macrophage
1.8061398,Dendritic cell
1.217177,Plasma cell
1.976362,Dendritic cell
1.0548606,Macrophage
1.485264,Plasma cell
1.4967582,Macrophage
1.961948,Dendritic cell
1.1748317,Macrophage
1.4379883,Macrophage
1.3431735,Plasma cell
1.3568127,Macrophage
2.3496537,Dendritic cell
1.417976,Macrophage
1.3108729,Macrophage
1.2569752,Plasma cell
1.0978252,Macrophage
1.8384438,Macrophage
1.3831846,Macrophage
1.1440327,Macrophage
1.3493334,Macrophage
1.2641523,Macrophage
1.2495828,Macrophage
1.337896,Macrophage
1.0845013,Macrophage
1.5565957,Macrophage
0.68177086,T cell
1.1888394,Macrophage
2.13082,Macrophage
1.6127688,Macrophage
1.4998107,Plasma cell
1.0808324,Macrophage
1.12553,Macrophage
1.3429004,Macrophage
0.730315,Macrophage
1.6963267,Macrophage
1.3332407,Macrophage
0.79256517,Plasma cell
1.5022343,Macrophage
0.84356385,B cell
1.8848951,Macrophage
1.3761982,Macrophage
1.4988847,B cell
1.2029116,B cell
1.7065669,NK cell
1.6220149,B cell
1.4796532,B cell
0.85200423,B cell
1.1851854,Plasma cell
1.0306922,B cell
2.1829662,Plasma cell
1.1678476,T cell
1.0820795,T cell
0.90661633,Macrophage
1.1837598,pDC
0.9708551,T cell
1.7170024,T cell
1.1908287,T cell
1.2433414,T cell
1.7789313,Plasma cell
0.93677676,B cell
0.9334457,T cell
1.7907262,Dendritic cell
1.4867971,B cell
1.6436505,T cell
1.1339909,B cell
1.6756343,B cell
1.0829434,Plasma cell
1.6286705,T cell
1.0246367,T cell
1.0605524,T cell
0.9841241,T cell
1.1184618,Plasma cell
1.4515667,B cell
1.1245439,T cell
1.2717478,T cell
1.231273,T cell
1.2703493,Dendritic cell
1.4412122,Macrophage
1.0263325,T cell
1.3502902,Dendritic cell
0.9264978,Plasma cell
0.99734366,T cell
1.2701052,B cell
1.5147473,B cell
1.2030891,T cell
1.881505,T cell
1.8793024,B cell
1.1538337,B cell
1.797021,B cell
1.8325292,B cell
1.1293409,Plasma cell
2.191684,B cell
1.0381552,T cell
1.0359935,B cell
1.0248228,B cell
1.1965722,T cell
1.0498866,T cell
0.6957305,B cell
1.4783361,T cell
0.92160225,T cell
1.6443828,pDC
1.4890678,T cell
1.3737118,NK cell
1.3594941,Plasma cell
0.9500952,Plasma cell
1.2486377,Plasma cell
1.4293903,T cell
1.9446181,NK cell
0.9640999,T cell
1.3988185,T cell
1.2811203,T cell
0.74125385,Dendritic cell
1.5500621,B cell
1.3488654,B cell
1.8442042,Macrophage
0.7200247,B cell
1.598753,B cell
1.256403,T cell
2.0759387,T cell
0.9136206,B cell
1.9240761,T cell
1.3738612,B cell
1.1650507,B cell
1.4142176,B cell
1.6382517,T cell
1.0309529,T cell
1.5983858,T cell
0.85084456,B cell
1.03074,pDC
1.0819553,B cell
1.860122,B cell
1.2236873,T cell
1.1157762,pDC
0.9421829,T cell
1.1357206,B cell
1.3386464,B cell
1.1184137,T cell
1.3204439,NK cell
1.1177127,B cell
1.2541523,T cell
1.3896964,Dendritic cell
1.1152409,Plasma cell
1.1070601,T cell
1.9903643,Dendritic cell
0.9223096,T cell
1.598055,T cell
1.2819496,T cell
1.0657109,Dendritic cell
1.4948958,B cell
1.5212415,T cell
1.8835545,Plasma cell
1.3808331,T cell
1.6827352,B cell
1.9519106,Macrophage
1.4672482,T cell
1.71054,T cell
1.6583925,B cell
1.664971,B cell
0.96938574,B cell
1.0106703,T cell
1.0497605,T cell
1.0266733,pDC
1.5109484,T cell
1.4740788,T cell
1.1064886,Plasma cell
1.3502517,T cell
1.5364197,Dendritic cell
1.4516674,B cell
1.0577427,Plasma cell
1.0495254,Plasma cell
1.1307509,Plasma cell
1.3662996,Macrophage
1.3983042,Macrophage
1.4025393,T cell
1.0525817,T cell
0.75179905,B cell
1.5121876,Macrophage
1.3030026,B cell
1.6603346,T cell
1.2658948,T cell
1.4569918,B cell
1.0659175,T cell
2.2767994,B cell
1.668213,B cell
1.6734653,B cell
1.7454811,B cell
1.082571,T cell
1.1316938,T cell
1.1676697,T cell
1.6320534,NK cell
0.69420063,B cell
2.5046952,T cell
1.1072054,pDC
1.0277851,T cell
1.087268,Plasma cell
1.4123622,T cell
1.6642014,Macrophage
1.3688397,B cell
1.0537261,T cell
0.9311344,T cell
1.4580492,Dendritic cell
1.978043,Dendritic cell
1.0017796,pDC
1.286532,B cell
2.0194821,B cell
1.1524783,B cell
1.6402277,B cell
1.2868185,T cell
1.2786535,T cell
1.5611038,Plasma cell
0.9373831,T cell
1.2171782,T cell
1.1298978,T cell
0.9570094,Plasma cell
1.7845284,B cell
1.3039562,T cell
1.4103972,B cell
0.9972252,T cell
0.9377362,T cell
1.2905421,B cell
1.3889254,T cell
1.5506141,NK cell
1.3261073,B cell
0.6680369,B cell
1.241396,Macrophage
1.4863725,T cell
1.0997554,Plasma cell
1.0738021,Plasma cell
1.0119773,Plasma cell
1.3755497,Plasma cell
1.0293689,T cell
1.0447935,Plasma cell
1.081711,Plasma cell
1.1499724,T cell
1.1993283,T cell
1.2906498,T cell
0.9825978,pDC
0.90717244,Plasma cell
1.3196509,Dendritic cell
1.0076106,B cell
1.511792,T cell
1.5454557,B cell
1.7307318,T cell
1.8242583,B cell
0.91177833,B cell
1.2435747,Dendritic cell
1.2441794,T cell
0.9716805,Dendritic cell
1.17926,T cell
1.3993663,NK cell
1.6844478,T cell
0.7951112,B cell
1.0649245,pDC
1.0590034,T cell
2.1797483,Dendritic cell
1.2342416,T cell
1.4302489,B cell
1.9489979,NK cell
0.8834542,T cell
1.3571433,Plasma cell
0.908325,T cell
1.5992982,Dendritic cell
1.215589,T cell
1.1621549,T cell
1.3648088,B cell
1.6184937,B cell
1.606988,T cell
1.0054258,pDC
1.36764,Macrophage
1.7840811,T cell
1.1452303,B cell
