celltype,pre_cluster,size,survival,n_fragments
Dendritic cell,0,953,0.9884575026232949,17
Dendritic cell,1,848,0.7841981132075472,17
Dendritic cell,2,786,0.5636132315521628,17
Dendritic cell,3,726,0.5206611570247934,17
Dendritic cell,4,671,0.5707898658718331,17
Dendritic cell,5,628,0.9633757961783439,17
Dendritic cell,6,443,0.7720090293453724,17
Dendritic cell,7,322,0.6894409937888198,17
Dendritic cell,8,304,0.41776315789473684,17
Dendritic cell,9,283,0.5547703180212014,17
Dendritic cell,10,250,0.724,17
Dendritic cell,11,214,0.3317757009345794,17
Dendritic cell,12,177,0.7344632768361582,17
Dendritic cell,13,154,0.922077922077922,17
Dendritic cell,14,151,0.8543046357615894,17
Dendritic cell,15,132,0.9242424242424242,17
Dendritic cell,16,126,0.23015873015873015,17
Plasma cell,0,810,0.6382716049382716,21
Plasma cell,1,585,0.7350427350427351,21
Plasma cell,2,578,0.35813148788927335,21
Plasma cell,3,533,0.5046904315196998,21
Plasma cell,4,408,0.5661764705882353,21
Plasma cell,5,349,0.7736389684813754,21
Plasma cell,6,333,0.96996996996997,21
Plasma cell,7,322,0.9596273291925466,21
Plasma cell,8,278,0.9496402877697842,21
Plasma cell,9,233,0.4978540772532189,21
Plasma cell,10,172,0.7790697674418605,21
Plasma cell,11,157,0.9044585987261147,21
Plasma cell,12,152,0.45394736842105265,21
Plasma cell,13,150,0.9533333333333334,21
Plasma cell,14,130,0.35384615384615387,21
Plasma cell,15,127,0.3228346456692913,21
Plasma cell,16,111,0.8468468468468469,21
Plasma cell,17,87,0.9770114942528736,21
Plasma cell,18,78,0.9358974358974359,21
Plasma cell,19,24,0.9583333333333334,21
Macrophage,0,2749,0.7588213895962168,24
Macrophage,1,2582,0.5325329202168861,24
Macrophage,2,2532,0.9352290679304898,24
Macrophage,3,2508,0.5980861244019139,24
Macrophage,4,2294,0.3234524847428073,24
Macrophage,5,2126,0.2916274694261524,24
Macrophage,6,2053,0.5319045299561617,24
Macrophage,7,1959,0.84788157223073,24
Macrophage,8,1590,0.6018867924528302,24
Macrophage,9,1464,0.976775956284153,24
Macrophage,10,1327,0.4159758854559156,24
Macrophage,11,1292,0.39241486068111453,24
Macrophage,12,1222,0.9009819967266776,24
Macrophage,13,1029,0.793002915451895,24
Macrophage,14,947,0.5195353748680043,24
Macrophage,15,880,0.8068181818181818,24
Macrophage,16,849,0.4098939929328622,24
Macrophage,17,843,0.8801897983392646,24
Macrophage,18,827,0.21644498186215236,24
Macrophage,19,804,0.9701492537313433,24
Macrophage,20,802,0.29177057356608477,24
Macrophage,21,758,0.941952506596306,24
Macrophage,22,740,0.4189189189189189,24
Macrophage,23,662,0.7990936555891238,24
Macrophage,24,546,0.3443223443223443,24
Macrophage,25,515,0.7747572815533981,24
Macrophage,26,262,0.9274809160305344,24
Macrophage,27,242,0.6033057851239669,24
Macrophage,28,201,0.9601990049751243,24
Macrophage,29,114,0.9824561403508771,24
Macrophage,30,59,1.0,24
Macrophage,31,43,1.0,24
T cell,0,4397,0.29611098476233794,16
T cell,1,3674,0.4281437125748503,16
T cell,2,2923,0.3595620937393089,16
T cell,3,2915,0.2950257289879931,16
T cell,4,2669,0.4424878231547396,16
T cell,5,2596,0.5797380585516179,16
T cell,6,2493,0.2539109506618532,16
T cell,7,2055,0.42141119221411194,16
T cell,8,1615,0.7876160990712074,16
T cell,9,1474,0.7299864314789688,16
T cell,10,1395,0.6501792114695341,16
T cell,11,1326,0.5776772247360482,16
T cell,12,1286,0.3421461897356143,16
T cell,13,980,0.2642857142857143,16
T cell,14,925,0.5091891891891892,16
T cell,15,805,0.8981366459627329,16
T cell,16,797,0.9422835633626098,16
T cell,17,796,0.6758793969849246,16
T cell,18,752,0.9069148936170213,16
T cell,19,670,0.4925373134328358,16
T cell,20,640,0.59375,16
T cell,21,581,0.8175559380378657,16
T cell,22,461,0.9045553145336226,16
T cell,23,130,0.8307692307692308,16
B cell,0,873,0.9495990836197021,18
B cell,1,740,0.8283783783783784,18
B cell,2,697,0.3328550932568149,18
B cell,3,676,0.8890532544378699,18
B cell,4,633,0.22274881516587677,18
B cell,5,604,0.6423841059602649,18
B cell,6,493,0.8742393509127789,18
B cell,7,433,0.789838337182448,18
B cell,8,302,0.4966887417218543,18
B cell,9,288,0.5277777777777778,18
B cell,10,263,0.5931558935361216,18
B cell,11,258,0.4728682170542636,18
B cell,12,254,0.5748031496062992,18
B cell,13,230,0.5130434782608696,18
B cell,14,230,0.8913043478260869,18
B cell,15,153,0.7843137254901961,18
B cell,16,126,0.9285714285714286,18
B cell,17,118,0.5423728813559322,18
B cell,18,110,0.2636363636363636,18
B cell,19,26,1.0,18
NK cell,0,1150,0.5930434782608696,14
NK cell,1,851,0.8860164512338425,14
NK cell,2,810,0.31234567901234567,14
NK cell,3,605,0.7041322314049587,14
NK cell,4,595,0.35798319327731093,14
NK cell,5,397,0.31738035264483627,14
NK cell,6,327,0.6666666666666666,14
NK cell,7,277,0.924187725631769,14
NK cell,8,242,0.44214876033057854,14
NK cell,9,191,0.6492146596858639,14
NK cell,10,144,0.7847222222222222,14
NK cell,11,141,0.7872340425531915,14
NK cell,12,129,0.5968992248062015,14
NK cell,13,73,0.8356164383561644,14
NK cell,14,45,0.8888888888888888,14
NK cell,15,27,1.0,14
pDC,0,275,0.5563636363636364,14
pDC,1,247,0.4493927125506073,14
pDC,2,226,0.6548672566371682,14
pDC,3,207,0.3285024154589372,14
pDC,4,187,0.5187165775401069,14
pDC,5,115,0.7739130434782608,14
pDC,6,114,0.5087719298245614,14
pDC,7,90,0.7666666666666667,14
pDC,8,51,0.9607843137254902,14
pDC,9,43,0.9767441860465116,14
pDC,10,14,1.0,14
Mast,0,293,0.6996587030716723,11
Mast,1,218,0.555045871559633,11
Mast,2,209,0.7751196172248804,11
Mast,3,209,0.32057416267942584,11
Mast,4,176,0.7102272727272727,11
Mast,5,103,0.44660194174757284,11
Mast,6,101,0.9603960396039604,11
Mast,7,90,0.7888888888888889,11
Mast,8,70,0.9428571428571428,11
Mast,9,51,0.27450980392156865,11
